raw descriptor;occurences;level_3;level_2;level_1
abras;190;abrasive;high_tannin;tannin
acacia;130;acacia;flowery;flower
acacia_flower;77;acacia;flowery;flower
acacia_honey;68;honey;honey;caramel
accid_benedictin;930;acid;high_acid;acid
acid;37090;acid;high_acid;acid
acid_german;172;acid;high_acid;acid
ad_depth;53;depth;high_complexity;complexity
add_complex;406;complex;high_complexity;complexity
add_depth;237;depth;high_complexity;complexity
age;9332;wood_age;resinous;woody
age_lee;56;wood_age;resinous;woody
age_minimum;74;wood_age;resinous;woody
age_month;379;wood_age;resinous;woody
age_potenti;556;wood_age;resinous;woody
age_process;69;wood_age;resinous;woody
age_techniqu;62;wood_age;resinous;woody
age_worthi;174;wood_age;resinous;woody
ageworthi;268;wood_age;resinous;woody
aggress;592;aggressive;high_acid;acid
air;962;fresh;high_acid;acid
air_freshen;48;fresh;high_acid;acid
airi;91;airy;light_bodied;body
alcohol;1747;high_alcohol;high_alcohol;alcohol
alcohol_ferment;931;hot;high_alcohol;alcohol
alcohol_heat;80;hot;high_alcohol;alcohol
alcohol_level;103;hot;high_alcohol;alcohol
alcohol_minimum;62;low_alcohol;low_alcohol;alcohol
alcohol_warmth;46;warm;high_alcohol;alcohol
allow_age;150;wood_age;resinous;woody
allow_room;45;wood_age;resinous;woody
allspic;287;allspice;baking_spices;spice
almond;1106;almond;nutty;nutty
almond_past;65;almond;nutty;nutty
almost_syrupi;68;syrupy;caramel;caramel
alongsid_backbon;96;full_bodied;full_bodied;body
alongsid_polish;303;polished;low_tannin;tannin
alongsid_velveti;220;velvety;low_tannin;tannin
alpin_herb;142;alpine_herbs;fresh_herbs;vegetal
alpin_strawberri;47;strawberry;red_fruit;fruit
amaron;185;amarone;high_alcohol;alcohol
amaron_age;62;amarone;high_alcohol;alcohol
amaron_character;62;amarone;high_alcohol;alcohol
amaron_della;62;amarone;high_alcohol;alcohol
american;139;american_oak;resinous;woody
american_oak;248;american_oak;resinous;woody
ampl_weight;118;full_bodied;full_bodied;body
angular;306;angular;high_tannin;tannin
anis;1720;anise;baking_spices;spice
anise;51;anise;baking_spices;spice
anisett;104;anise;baking_spices;spice
anjou_pear;135;pear;tree_fruit;fruit
aperitif;45;fortified;high_alcohol;alcohol
appl;8754;apple;tree_fruit;fruit
appl_blossom;267;apple_blossom;flowery;flower
appl_cider;124;apple;tree_fruit;fruit
appl_pear;1418;tree_fruit;tree_fruit;fruit
appl_pie;161;apple_pie;biscuit;caramel
applesauc;63;apple_sauce;tree_fruit;fruit
appley;55;apple;tree_fruit;fruit
appli;119;apple;tree_fruit;fruit
apricot;2487;apricot;stone_fruit;fruit
apricot_peach;182;stone_fruit;stone_fruit;fruit
ash;155;ash;toasted;woody
asian_pear;280;pear;tree_fruit;fruit
asian_spice;236;asian_spice;baking_spices;spice
asparagus;207;asparagus;vegetable;vegetal
asphalt;415;asphalt;petroleum;earth_inorganic
assert;704;assertive;high_acid;acid
assert_close;49;closed;high_complexity;complexity
astring;1708;astringent;high_tannin;tannin
atlas_peak;44;peak;#N/A;#N/A
auster;925;austere;high_tannin;tannin
backbon;729;full_bodied;full_bodied;body
bacon;610;bacon;bacon;brettanomyces
bacon_fat;187;bacon;bacon;brettanomyces
bake;3485;baked;high_alcohol;alcohol
bake_appl;716;baked_apple;tree_fruit;fruit
bake_bread;145;baked_bread;yeasty;microbial
bake_spice;3474;baking_spices;baking_spices;spice
balanc;15846;elegant;light_bodied;body
balsam;560;balsamic;volatile_acidity;acid
balsam_note;673;balsamic;volatile_acidity;acid
balsam_vinegar;69;balsamic;volatile_acidity;acid
balsam_wood;89;wood;resinous;woody
banana;964;banana;tropical_fruit;fruit
barbecu;180;barbecue;meat;sulfides
bark;165;bark;resinous;woody
barnyard;377;barnyard;barnyard;brettanomyces
barrel;4229;oak;resinous;woody
barrel_ferment;638;oak;resinous;woody
barrel_influenc;186;oak;resinous;woody
barrel_select;141;oak;resinous;woody
barriqu;56;oak;resinous;woody
barroca;52;oak;resinous;woody
bartlett_pear;175;pear;tree_fruit;fruit
basil;58;basil;fresh_herbs;vegetal
basilicata_sicili;51;basil;fresh_herbs;vegetal
bay_leaf;389;bay_leaf;fresh_herbs;vegetal
becom_golden;45;gold;color;visual
beef;270;beef;meat;sulfides
beef_char;80;beef;meat;sulfides
beef_jerki;79;beef_jerky;meat;sulfides
beefi;228;beefy;high_tannin;tannin
beeswax;253;beeswax;honey;caramel
beet;208;beet;vegetable;vegetal
beet_juic;46;beet;vegetable;vegetal
beet_root;49;beetroot;vegetable;vegetal
beetroot;54;beetroot;vegetable;vegetal
bell_pepper;831;bell_pepper;vegetable;vegetal
benedict_pork;46;pork;meat;sulfides
bergamot;119;bergamot;citrus_fruit;fruit
berri;22350;berry;red_fruit;fruit
big_bold;310;bold;full_bodied;body
big_brawni;48;brawny;high_tannin;tannin
bigger;145;high_alcohol;high_alcohol;alcohol
bing_cherri;226;cherry;red_fruit;fruit
biscuit;59;cookie;biscuit;caramel
bit_flat;88;flat;low_acid;acid
bit_pale;212;bitter;high_tannin;tannin
bite;695;bite;high_acid;acid
bitter;2442;bitter;high_tannin;tannin
bitter_almond;426;bitter_almond;nutty;nutty
bitter_chocol;395;chocolate;chocolate;caramel
bittersweet;93;bittersweet;high_tannin;tannin
bittersweet_chocol;189;chocolate;chocolate;caramel
black;26076;black;dark_fruit;fruit
black_currant;3404;black_currant;dark_fruit;fruit
black_oliv;1017;olive;vegetable;vegetal
black_pepper;3047;black_pepper;pepper;spice
black_tea;1014;black_tea;dried_herbs;vegetal
blackberri;12578;blackberry;dark_fruit;fruit
blackberri_jam;643;blackberry_jam;dark_fruit;fruit
blackcurr;105;blackcurrant;dark_fruit;fruit
blacken;220;black;dark_fruit;fruit
blanc_picpoul;42;poultry;meat;sulfides
bland;312;bland;low_concentration;concentration
block_plant;45;plant;fresh_herbs;vegetal
blocki;298;chunky;full_bodied;body
blood_orang;146;blood_orange;citrus_fruit;fruit
blossom;1122;blossom;flowery;flower
blossomi;63;blossom;flowery;flower
blue;868;blue;color;visual
blue_flower;969;blue_flower;flowery;flower
blueberri;3269;berry;dark_fruit;fruit
blueberri_boysenberri;69;berry;dark_fruit;fruit
blueberri_jam;64;berry;dark_fruit;fruit
blueberri_pie;100;blueberry_pie;dark_fruit;fruit
bold;2858;bold;full_bodied;body
bolder;44;bold;full_bodied;body
bone_dri;316;bone_dry;dry;sweetness
bordeaux_grape;144;grapey;red_fruit;fruit
bosc_pear;121;pear;tree_fruit;fruit
botryti;280;botrytis;honey;caramel
bouquet;2394;flower;flowery;flower
bourbon;41;oak;resinous;woody
bourbon_barrel;82;oak;resinous;woody
box_spice;141;cake_spice;baking_spices;spice
boysenberri;1390;boysenberry;red_fruit;fruit
brambl;1535;bramble;dark_fruit;fruit
brandi_cherri;75;cherry;red_fruit;fruit
brawn;41;brawny;high_tannin;tannin
brawni;462;brawny;high_tannin;tannin
bread;76;bread;yeasty;microbial
bread_crust;115;bread_crust;yeasty;microbial
briar;52;briary;soil;earth_organic
briari;279;briary;soil;earth_organic
brick;138;brick;color;visual
bright;10462;bright;high_acid;acid
brighten;498;bright;high_acid;acid
brighter;138;bright;high_acid;acid
brilliant;156;brilliant;color_intensity;visual
brine;135;brine;salinity;salinity
brini;550;brine;salinity;salinity
brioch;225;brioche;yeasty;microbial
brisk;1466;brisk;high_acid;acid
brood;718;bread;yeasty;microbial
brood_excit;82;bread;yeasty;microbial
brown;168;brown;color;visual
brown_butter;73;brown_butter;caramel;caramel
brown_spice;186;brown_spice;baking_spices;spice
brown_sugar;677;brown_sugar;caramel;caramel
bruis_appl;62;apple;tree_fruit;fruit
bubbl;215;sparkling;sparkling;style
bubbl_gum;86;bubble_gum;tropical_fruit;fruit
bubblegum;115;bubblegum;tropical_fruit;fruit
built_age;90;wood_age;resinous;woody
bulki;226;bulky;high_tannin;tannin
bullish;84;bullish;full_bodied;body
buoy;259;buoyant;high_acid;acid
buoyant;235;buoyant;high_acid;acid
burn;263;burnt;toasted;woody
burnt;780;burnt;toasted;woody
burnt_coffe;62;coffee;toasted;woody
burnt_rubber;63;rubber;rubber;earth_inorganic
burnt_sugar;45;brown_sugar;caramel;caramel
burnt_toast;162;burnt_toast;toasted;woody
butter;1153;butter;lactic;microbial
butter_nut;68;butter_nut;nutty;nutty
butter_popcorn;115;butter_popcorn;caramel;caramel
butter_toast;256;buttery_toast;toasted;woody
buttercream;65;buttercream;caramel;caramel
buttercup;41;butter;lactic;microbial
butteri;1207;butter;lactic;microbial
butteri_consist;44;butter;lactic;microbial
butteri_profil;47;butter;lactic;microbial
butternut;47;butter_nut;nutty;nutty
butterscotch;673;butterscotch;caramel;caramel
cake;265;cake;biscuit;caramel
cake_spice;323;cake_spice;baking_spices;spice
california_rose;211;rose;flowery;flower
campania_basilicata;59;basil;fresh_herbs;vegetal
campfir;193;campfire;toasted;woody
camphor;203;camphor;oil;earth_inorganic
candi;3312;candy;tropical_fruit;fruit
candl_wax;62;candle_wax;oil;earth_inorganic
cantaloup;228;cataloupe;melon;fruit
caramel;2447;caramel;caramel;caramel
caramel_sugar;60;caramel;caramel;caramel
caramel_toffe;46;caramel;caramel;caramel
cardamom;567;cardamom;baking_spices;spice
carob;325;carob;chocolate;caramel
cashew;80;cashew;nutty;nutty
cassi;5746;cassis;dark_fruit;fruit
cedar;3329;cedar;resinous;woody
cedar_characterist;97;cedar;resinous;woody
cedar_cigar;166;cigar;toasted;woody
cedar_pencil;79;pencil_lead;graphite;earth_inorganic
cedari;203;cedar;resinous;woody
cedari_oak;64;oak;resinous;woody
celeri;203;celery;vegetable;vegetal
cement;89;cement;rocks;earth_inorganic
chalk;457;chalk;rocks;earth_inorganic
chalk_clay;59;chalk;rocks;earth_inorganic
chalk_soil;87;chalk;rocks;earth_inorganic
chalki;1481;chalk;rocks;earth_inorganic
chalki_soil;41;chalk;rocks;earth_inorganic
challeng;219;chalk;rocks;earth_inorganic
challeng_vintag;52;chalk;rocks;earth_inorganic
challeng_would;44;chalk;rocks;earth_inorganic
chamomil;202;chamomile;flowery;flower
champagn_prosecco;176;rose;flowery;flower
char_beef;95;roasted_meat;meat;sulfides
char_meat;87;grilled_meat;meat;sulfides
char_wood;164;charred_wood;toasted;woody
characterist_flint;109;flint;rocks;earth_inorganic
charcoal;231;charcoal;graphite;earth_inorganic
charcuteri;80;cured_meat;meat;sulfides
chard;352;chard;fresh_herbs;vegetal
chard_slight;47;chard;fresh_herbs;vegetal
chees;553;cheese;lactic;microbial
chees_cure;111;cheese;lactic;microbial
cheesi;157;cheese;lactic;microbial
cheesi_oak;52;cheese;lactic;microbial
chemic;145;chemical;petroleum;earth_inorganic
cherri;33509;cherry;red_fruit;fruit
cherri_cough;91;cherry;red_fruit;fruit
cherri_marin;127;cherry;red_fruit;fruit
chewi;2277;chewi;medium_tannin;tannin
chicken;96;chicken;meat;sulfides
chill;292;fresh;high_acid;acid
chip_slate;44;slate;rocks;earth_inorganic
chock_full;94;chocolate;chocolate;caramel
chocol;6238;chocolate;chocolate;caramel
chocol_cake;70;chocolate;chocolate;caramel
chocol_cover;165;chocolate;chocolate;caramel
chocolatey;96;chocolate;chocolate;caramel
chocolati;1219;chocolate;chocolate;caramel
chop_herb;391;herbs;fresh_herbs;vegetal
chop_mint;174;mint;fresh_herbs;vegetal
choppi;526;choppy;high_tannin;tannin
christma_spice;60;cake_spice;baking_spices;spice
chunki;1651;chunky;full_bodied;body
